32.5592584,76.1223643,02001018
32.5311523,75.9638178,02001019
32.4294936,76.0132235,02001020
32.5731281,76.1069878,02001021
33.0840737,76.4071336,02001024
32.4871571,75.9408807,02001025
32.568119,76.1206821,02001030
32.442849,76.5329269,02001033
32.2131749,76.3194043,02002046
32.0497073,76.6272368,02002047
32.3068262,75.8941967,02002048
31.9053492,76.2131474,02002049
32.103108,76.2730671,02002050
32.0512015,76.6428506,02002051
31.925672,76.4598288,02002052
31.8676651,76.3219386,02002053
32.120164,76.3926668,02002055
32.1458134,76.0114788,02002056
32.2197295,76.1728373,02002057
32.1955777,76.3564929,02002058
32.3045224,76.9182097,02002059
31.9198827,76.1174988,02002060
32.0388645,76.4956757,02002061
32.1422035,76.4536036,02002062
32.2138529,76.3203045,02002063
31.9053492,76.2131474,02002065
32.1391156,75.911483,02002066
32.0992042,76.2990403,02002070
32.1078634,76.5349963,02002071
32.0263311,76.097201,02002072
32.1149356,76.2795135,02002073
32.09995,76.26906,02002074
32.1128552,76.3840821,02002075
32.1077114,76.2744314,02002077
32.0957524,76.530172,02002080
32.106333,76.551017,02002081
32.2074155,75.9114531,02002085
32.11666,76.28323,02002086
32.1383088,75.6884757,02002087
32.113695,76.2826675,02002088
32.6161802,76.9034408,02003007
32.2275991,78.0709903,02003008
32.0932778,78.3847314,02003009
32.5719822,77.0299466,02003010
32.5709987,77.0319784,02003011
